source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,comm_samp,noteworthy_env_cond,replicate,size_frac_low,size_frac_up,depth,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,samp_size_mass,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMOBON-211028-BPNS-So3-Micro-B1,EMOBON metagenome sediment sample from station BPNS collected on 2021-10-28 community collected micro,256318,metagenome,metagenome,sediment [ENVO:00002007],2021-10-28 00:00:00,BPNS_So_211028,Sander Delacauw,0000-0002-5400-2891,NA,micro,,blank_1,NA,NA,18.66,NA,SoSOP3,NA,2021-10-28 00:00:00,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_So_21
EMOBON-211028-BPNS-So3-Micro-B2,EMOBON metagenome sediment sample from station BPNS collected on 2021-10-28 community collected micro,256318,metagenome,metagenome,sediment [ENVO:00002007],2021-10-28 00:00:00,BPNS_So_211028,Sander Delacauw,0000-0002-5400-2891,NA,micro,,blank_2,NA,NA,18.66,NA,SoSOP3,NA,2021-10-28 00:00:00,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_So_22
EMOBON-211028-BPNS-So3-Macro-R1,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected macro,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2021-10-28 00:00:00,BPNS_So_211028,Sander Delacauw,0000-0002-5400-2891,ebb_tide,macro,,1,NA,NA,19.42,Van Veen Grab,SoSOP3,NA,2021-10-28 00:00:00,MSO LifeWatch Lab -20 Freezer 3,-20,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,N,NA,2022-01-10 00:00:00,2022-01-18 00:00:00,4,2023-10-17 00:00:00,2023-10-17 00:00:00,batch_3.2,F,NA,,EMOBON_BPNS_So_23
EMOBON-211028-BPNS-So3-Macro-R2,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected macro,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2021-10-28 00:00:00,BPNS_So_211028,Sander Delacauw,0000-0002-5400-2891,ebb_tide,macro,,2,NA,NA,19.42,Van Veen Grab,SoSOP3,NA,2021-10-28 00:00:00,MSO LifeWatch Lab -20 Freezer 3,-20,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,N,NA,2022-01-10 00:00:00,2022-01-18 00:00:00,4,2023-10-17 00:00:00,2023-10-17 00:00:00,batch_3.2,F,NA,,EMOBON_BPNS_So_24
EMOBON-211028-BPNS-So3-Macro-R3,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected macro,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2021-10-28 00:00:00,BPNS_So_211028,Sander Delacauw,0000-0002-5400-2891,ebb_tide,macro,,3,NA,NA,19.42,Van Veen Grab,SoSOP3,NA,2021-10-28 00:00:00,MSO LifeWatch Lab -20 Freezer 3,-20,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_So_25
EMOBON-211028-BPNS-So3-Macro-R4,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected macro,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2021-10-28 00:00:00,BPNS_So_211028,Sander Delacauw,0000-0002-5400-2891,ebb_tide,macro,,4,NA,NA,19.42,Van Veen Grab,SoSOP3,NA,2021-10-28 00:00:00,MSO LifeWatch Lab -20 Freezer 3,-20,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_So_26
EMOBON-211028-BPNS-So3-Macro-B,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected macro,256318,metagenome,mimarks-specimen,sediment [ENVO:00002007],2021-10-28 00:00:00,BPNS_So_211028,Sander Delacauw,0000-0002-5400-2891,NA,macro,,blank_1,NA,NA,19.42,NA,SoSOP3,NA,2021-10-28 00:00:00,MSO LifeWatch Lab -20 Freezer 3,-20,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_So_27
EMOBON-211028-BPNS-SoSOP3-Meio-R1,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected meio,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2021-10-28 00:00:00,BPNS_So_211028,Lara Macheriotou,0000-0002-5662-5689,ebb_tide,meio,,1,32,NA,19.42,Van Veen Grab,SoSOP3,NA,2021-10-28 00:00:00,"UGent MarBiol Freezer #4, Box#61",-20,Lara Macheriotou,0000-0002-5662-5689,Annelien Rigaux,NA,N,170,2021-12-01 00:00:00,2021-12-03 00:00:00,-20,2023-06-01 00:00:00,2023-06-01 00:00:00,batch_3,F,NA,,EMOBON_BPNS_So_28
EMOBON-211028-BPNS-SoSOP3-Meio-R2,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected meio,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2021-10-28 00:00:00,BPNS_So_211028,Lara Macheriotou,0000-0002-5662-5689,ebb_tide,meio,,2,32,NA,19.42,Van Veen Grab,SoSOP3,NA,2021-10-28 00:00:00,"UGent MarBiol Freezer #4, Box#61",-20,Lara Macheriotou,0000-0002-5662-5689,Annelien Rigaux,NA,N,272,2021-12-01 00:00:00,2021-12-03 00:00:00,-20,2023-06-01 00:00:00,2023-06-01 00:00:00,batch_3,F,NA,,EMOBON_BPNS_So_29
EMOBON-211028-BPNS-SoSOP3-Meio-R3,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected meio,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2021-10-28 00:00:00,BPNS_So_211028,Lara Macheriotou,0000-0002-5662-5689,ebb_tide,meio,,3,32,NA,19.42,Van Veen Grab,SoSOP3,NA,2021-10-28 00:00:00,"UGent MarBiol Freezer #4, Box#61",-20,Lara Macheriotou,0000-0002-5662-5689,Annelien Rigaux,NA,Y,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_So_30
EMOBON-211028-BPNS-SoSOP3-Meio-R4,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected meio,33208,Metazoa ,mimarks-specimen,sediment [ENVO:00002007],2021-10-28 00:00:00,BPNS_So_211028,Lara Macheriotou,0000-0002-5662-5689,ebb_tide,meio,,4,32,NA,19.42,Van Veen Grab,SoSOP3,NA,2021-10-28 00:00:00,"UGent MarBiol Freezer #4, Box#61",-20,Lara Macheriotou,0000-0002-5662-5689,Annelien Rigaux,NA,Y,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_BPNS_So_31
EMOBON-211028-BPNS-SoSOP3-Meio-B,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected meio,256318,metagenome,mimarks-specimen,sediment [ENVO:00002007],2021-10-28 00:00:00,BPNS_So_211028,Lara Macheriotou,0000-0002-5662-5689,NA,meio,,blank_1,NA,NA,19.42,Van Veen Grab,SoSOP3,NA,2021-10-28 00:00:00,"UGent MarBiol Freezer #4, Box#61",-20,Lara Macheriotou,0000-0002-5662-5689,Annelien Rigaux,NA,N,NA,2021-12-01 00:00:00,2021-12-03 00:00:00,-20,2023-06-01 00:00:00,2023-06-01 00:00:00,batch_3,F,18S seq gave 498180 reads,,EMOBON_BPNS_So_32
EMOBON-211223-BPNS-So3-Micro-R1,EMOBON metagenome sediment sample from station BPNS collected on 2021-12-23 community collected micro,412755,marine sediment metagenome,metagenome,sediment [ENVO:00002007],2021-12-23 00:00:00,BPNS_So_211223,Rune Lagaisse,0000-0001-9191-9140,ebb_tide,micro,,1,NA,NA,21.2,Van Veen Grab,SoSOP3,Problem with underway data,2021-12-23 00:00:00,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,0000-0002-5400-2891,Rune Lagaisse,0000-0001-9191-9140,N,NA,2022-01-10 00:00:00,2022-01-18 00:00:00,-70,2022-02-22 00:00:00,2022-02-23 00:00:00,batch_2,F,NA,ERS20535375,EMOBON_BPNS_So_33
